var,x,n,perc
Age,42," 1,128", 1.55
Age,43," 1,108", 1.53
Age,44,   992, 1.37
Age,45," 1,061", 1.46
Age,46,   916, 1.26
Age,47,   876, 1.21
Age,48,   722, 0.99
Age,49,   717, 0.99
Age,50,   822, 1.13
Age,51,   588, 0.81
Age,52,   613, 0.84
Age,53,   517, 0.71
Age,54,   567, 0.78
Age,55,   486, 0.67
Age,56,   466, 0.64
Age,57,   432, 0.59
Age,58,   456, 0.63
Age,59,   314, 0.43
Age,60,   395, 0.54
Age,61,   303, 0.42
Age,62,   265, 0.36
Age,63,   223, 0.31
Age,64,   240, 0.33
Age,65,   285, 0.39
Age,66,   211, 0.29
Age,67,   242, 0.33
Age,68,   180, 0.25
Age,69,   171, 0.24
Age,70,   177, 0.24
Age,71,    97, 0.13
Age,72,    96, 0.13
Age,73,    84, 0.12
Age,74,    85, 0.12
Age,75,    78, 0.11
Age,76,    40, 0.06
Age,77,    39, 0.05
Age,78,    30, 0.04
Age,79,    21, 0.03
Age,80,    29, 0.04
Age,81,    15, 0.02
Age,82,    15, 0.02
Age,83,    11, 0.02
Age,84,     7, 0.01
Age,85,     5, 0.01
Age,86,     7, 0.01
Age,87,     2, 0.00
Age,89,     3, 0.00
Age,90,     1, 0.00
Age,91,     1, 0.00
Age,97,     1, 0.00
Age,99,     1, 0.00
sexual_orientation,Heterosexual,"50,098",68.98
sexual_orientation,Homosexual," 4,110", 5.66
sexual_orientation,Bi+," 9,152",12.60
sexual_orientation,Homo- and heteroflexible identities," 5,942", 8.18
sexual_orientation,Asexual,   953, 1.31
sexual_orientation,Questioning or other," 2,372", 3.27
education,"Primary (e.g., elementary school)",   437, 0.60
education,"Secondary (e.g., high school)","17,166",23.64
education,"Tertiary (e.g., college or university)","55,024",75.76
study,"Yes, in primary education (e.g., elementary school)",    53, 0.07
study,"Yes, in secondary education (e.g., high school)",     0, 0.00
study,"Yes, in tertiary education (e.g., college or university)","27,441",37.78
study,No,"45,133",62.14
work,"Yes, full time","38,651",53.22
work,"Yes, part-time","10,038",13.82
work,"Yes, I do odd jobs"," 6,057", 8.34
work,No,"17,881",24.62
socioeconomic_status,1,   185, 0.25
socioeconomic_status,2,   652, 0.90
socioeconomic_status,3," 3,724", 5.13
socioeconomic_status,4,"23,515",32.38
socioeconomic_status,5,"27,975",38.52
socioeconomic_status,6,"13,062",17.99
socioeconomic_status,7," 3,514", 4.84
residence,Metropolis (population is over 1 million people),"23,751",32.70
residence,"City (population is between 100,000-999,999 people)","26,529",36.53
residence,"Town (population is between 1,000-99,999 people)","18,315",25.22
residence,"Village (population is below 1,000 people)"," 4,032", 5.55
relationship_status,Married or common-law partners,"22,000",30.29
relationship_status,In a relationship,"23,884",32.89
relationship_status,Widow or widower,   393, 0.54
relationship_status,Divorced," 2,272", 3.13
relationship_status,Single,"24,078",33.15
children,"Yes, 1"," 7,589",10.45
children,"Yes, 2"," 9,412",12.96
children,"Yes, 3"," 3,498", 4.82
children,"Yes, 4",   938, 1.29
children,"Yes, 5",   264, 0.36
children,"Yes, 6-9",   116, 0.16
children,"Yes, 10 or more",    15, 0.02
children,No,"50,795",69.94
