contrast,t,p,p_adj,difference,d
Austria - Malaysia, -9.62,< .001,< .001,-1.92,-0.47
Austria - Mexico, -8.18,< .001,< .001,-1.52,-0.36
Austria - New Zealand, -9.86,< .001,< .001,-1.78,-0.41
Austria - North Macedonia,  1.64,0.10,0.12, 0.33, 0.08
Austria - Peru, -6.28,< .001,< .001,-1.11,-0.27
Austria - Poland, -6.89,< .001,< .001,-1.11,-0.27
Austria - Portugal, -7.14,< .001,< .001,-1.28,-0.32
Austria - Slovakia, -7.42,< .001,< .001,-1.48,-0.37
Austria - South Africa, -9.79,< .001,< .001,-1.88,-0.43
Austria - South Korea,  2.11,0.04,0.05, 0.43, 0.10
Austria - Spain, -7.23,< .001,< .001,-1.28,-0.32
Austria - Switzerland, -5.60,< .001,< .001,-1.15,-0.27
Austria - Taiwan, -0.53,0.60,0.63,-0.09,-0.02
Austria - Turkey, -6.40,< .001,< .001,-1.49,-0.35
Austria - United Kingdom, -7.56,< .001,< .001,-1.56,-0.35
Austria - United States of America,-12.88,< .001,< .001,-2.43,-0.53
Brazil - Canada,-10.33,< .001,< .001,-1.35,-0.28
Brazil - Chile, -8.13,< .001,< .001,-1.20,-0.28
Brazil - China, -2.60,0.01,0.01,-0.30,-0.07
Brazil - Colombia, -7.53,< .001,< .001,-0.95,-0.22
Brazil - Croatia, -1.95,0.05,0.07,-0.24,-0.05
Brazil - Czech Republic, 11.04,< .001,< .001, 1.42, 0.33
Brazil - France, -6.32,< .001,< .001,-0.89,-0.20
Brazil - Germany, 13.24,< .001,< .001, 1.42, 0.33
Brazil - Hungary,  7.06,< .001,< .001, 0.64, 0.15
Brazil - Ireland, -7.21,< .001,< .001,-1.06,-0.23
Brazil - Israel,  7.90,< .001,< .001, 1.24, 0.27
Brazil - Italy,  3.80,< .001,< .001, 0.48, 0.11
Brazil - Lithuania,  4.96,< .001,< .001, 0.63, 0.14
Brazil - Malaysia, -8.21,< .001,< .001,-1.24,-0.28
Brazil - Mexico, -6.34,< .001,< .001,-0.84,-0.18
Brazil - New Zealand, -8.82,< .001,< .001,-1.10,-0.24
Brazil - North Macedonia,  6.63,< .001,< .001, 1.01, 0.23
Brazil - Peru, -3.59,< .001,< .001,-0.42,-0.10
Brazil - Poland, -4.54,< .001,< .001,-0.42,-0.10
Brazil - Portugal, -4.87,< .001,< .001,-0.59,-0.14
Brazil - Slovakia, -5.29,< .001,< .001,-0.80,-0.19
Brazil - South Africa, -8.52,< .001,< .001,-1.20,-0.26
Brazil - South Korea,  7.05,< .001,< .001, 1.12, 0.23
Brazil - Spain, -5.00,< .001,< .001,-0.59,-0.14
Brazil - Switzerland, -2.94,< .001,< .001,-0.46,-0.10
Brazil - Taiwan,  5.29,< .001,< .001, 0.59, 0.14
Brazil - Turkey, -4.19,< .001,< .001,-0.81,-0.18
Brazil - United Kingdom, -5.49,< .001,< .001,-0.87,-0.19
Brazil - United States of America,-12.84,< .001,< .001,-1.75,-0.36
Canada - Chile,  0.87,0.38,0.42, 0.14, 0.03
Canada - China,  7.97,< .001,< .001, 1.05, 0.23
Canada - Colombia,  2.78,0.01,0.01, 0.39, 0.09
Canada - Croatia,  7.96,< .001,< .001, 1.10, 0.24
Canada - Czech Republic, 19.31,< .001,< .001, 2.77, 0.63
Canada - France,  2.96,< .001,< .001, 0.46, 0.10
Canada - Germany, 22.26,< .001,< .001, 2.76, 0.63
Canada - Hungary, 17.97,< .001,< .001, 1.99, 0.44
Canada - Ireland,  1.76,0.08,0.10, 0.28, 0.06
Canada - Israel, 15.30,< .001,< .001, 2.58, 0.55
Canada - Italy, 12.93,< .001,< .001, 1.83, 0.39
Canada - Lithuania, 13.98,< .001,< .001, 1.97, 0.44
Canada - Malaysia,  0.64,0.52,0.56, 0.10, 0.02
Canada - Mexico,  3.47,< .001,< .001, 0.51, 0.11
Canada - New Zealand,  1.80,0.07,0.09, 0.25, 0.05
Canada - North Macedonia, 14.27,< .001,< .001, 2.36, 0.51
Canada - Peru,  6.92,< .001,< .001, 0.92, 0.20
Canada - Poland,  8.17,< .001,< .001, 0.92, 0.20
Canada - Portugal,  5.48,< .001,< .001, 0.75, 0.17
Canada - Slovakia,  3.33,< .001,< .001, 0.55, 0.12
Canada - South Africa,  0.94,0.35,0.39, 0.14, 0.03
Canada - South Korea, 14.43,< .001,< .001, 2.46, 0.50
Canada - Spain,  5.59,< .001,< .001, 0.75, 0.17
Canada - Switzerland,  5.20,< .001,< .001, 0.88, 0.19
Canada - Taiwan, 15.10,< .001,< .001, 1.94, 0.44
Canada - Turkey,  2.64,0.01,0.01, 0.54, 0.11
Canada - United Kingdom,  2.75,0.01,0.01, 0.47, 0.10
Canada - United States of America, -2.69,0.01,0.01,-0.40,-0.08
Chile - China,  6.07,< .001,< .001, 0.90, 0.22
Chile - Colombia,  1.59,0.11,0.13, 0.25, 0.06
Chile - Croatia,  6.19,< .001,< .001, 0.96, 0.23
Chile - Czech Republic, 16.44,< .001,< .001, 2.63, 0.66
Chile - France,  1.86,0.06,0.08, 0.32, 0.07
Chile - Germany, 18.36,< .001,< .001, 2.62, 0.66
Chile - Hungary, 14.08,< .001,< .001, 1.85, 0.45
Chile - Ireland,  0.81,0.42,0.46, 0.14, 0.03
Chile - Israel, 13.35,< .001,< .001, 2.44, 0.56
Chile - Italy, 10.68,< .001,< .001, 1.69, 0.40
Chile - Lithuania, 11.61,< .001,< .001, 1.83, 0.45
Chile - Malaysia, -0.20,0.84,0.86,-0.04,-0.01
Chile - Mexico,  2.26,0.02,0.03, 0.37, 0.09
Chile - New Zealand,  0.70,0.48,0.52, 0.11, 0.02
Chile - North Macedonia, 12.34,< .001,< .001, 2.22, 0.53
Chile - Peru,  5.18,< .001,< .001, 0.78, 0.19
Chile - Poland,  5.87,< .001,< .001, 0.78, 0.19
Chile - Portugal,  3.96,< .001,< .001, 0.61, 0.15
Chile - Slovakia,  2.27,0.02,0.03, 0.40, 0.10
Chile - South Africa,  0.02,0.98,0.98, 0.00, 0.00
Chile - South Korea, 12.58,< .001,< .001, 2.32, 0.51
Chile - Spain,  4.02,< .001,< .001, 0.61, 0.15
Chile - Switzerland,  4.03,< .001,< .001, 0.74, 0.17
Chile - Taiwan, 12.27,< .001,< .001, 1.80, 0.45
Chile - Turkey,  1.84,0.07,0.08, 0.40, 0.09
Chile - United Kingdom,  1.79,0.07,0.09, 0.33, 0.07
Chile - United States of America, -3.29,< .001,< .001,-0.55,-0.12
China - Colombia, -5.12,< .001,< .001,-0.65,-0.16
China - Croatia,  0.47,0.64,0.67, 0.06, 0.01
China - Czech Republic, 13.27,< .001,< .001, 1.72, 0.44
China - France, -4.16,< .001,< .001,-0.59,-0.14
China - Germany, 15.87,< .001,< .001, 1.72, 0.44
China - Hungary, 10.20,< .001,< .001, 0.94, 0.23
China - Ireland, -5.14,< .001,< .001,-0.76,-0.18
China - Israel,  9.76,< .001,< .001, 1.54, 0.36
China - Italy,  6.13,< .001,< .001, 0.78, 0.19
China - Lithuania,  7.28,< .001,< .001, 0.93, 0.23
China - Malaysia, -6.19,< .001,< .001,-0.94,-0.23
China - Mexico, -4.04,< .001,< .001,-0.54,-0.13
China - New Zealand, -6.35,< .001,< .001,-0.80,-0.18
China - North Macedonia,  8.55,< .001,< .001, 1.31, 0.32
China - Peru, -1.03,0.30,0.34,-0.12,-0.03
China - Poland, -1.32,0.19,0.22,-0.12,-0.03
China - Portugal, -2.39,0.02,0.02,-0.29,-0.07
China - Slovakia, -3.29,< .001,< .001,-0.50,-0.13
China - South Africa, -6.35,< .001,< .001,-0.90,-0.21
China - South Korea,  8.89,< .001,< .001, 1.42, 0.32
China - Spain, -2.45,0.01,0.02,-0.29,-0.07
China - Switzerland, -1.03,0.30,0.34,-0.16,-0.04
China - Taiwan,  7.89,< .001,< .001, 0.89, 0.22
China - Turkey, -2.63,0.01,0.01,-0.51,-0.12
China - United Kingdom, -3.59,< .001,< .001,-0.57,-0.13
China - United States of America,-10.57,< .001,< .001,-1.45,-0.32
Colombia - Croatia,  5.27,< .001,< .001, 0.71, 0.17
Colombia - Czech Republic, 16.97,< .001,< .001, 2.37, 0.60
Colombia - France,  0.42,0.67,0.71, 0.06, 0.01
Colombia - Germany, 19.72,< .001,< .001, 2.37, 0.60
Colombia - Hungary, 15.02,< .001,< .001, 1.60, 0.39
Colombia - Ireland, -0.70,0.48,0.52,-0.11,-0.03
Colombia - Israel, 13.20,< .001,< .001, 2.19, 0.51
Colombia - Italy, 10.41,< .001,< .001, 1.43, 0.34
Colombia - Lithuania, 11.48,< .001,< .001, 1.58, 0.39
Colombia - Malaysia, -1.79,0.07,0.09,-0.29,-0.07
Colombia - Mexico,  0.81,0.42,0.46, 0.12, 0.03
Colombia - New Zealand, -1.05,0.30,0.33,-0.14,-0.03
Colombia - North Macedonia, 12.11,< .001,< .001, 1.97, 0.47
Colombia - Peru,  4.09,< .001,< .001, 0.53, 0.13
Colombia - Poland,  4.88,< .001,< .001, 0.53, 0.13
Colombia - Portugal,  2.69,0.01,0.01, 0.36, 0.09
Colombia - Slovakia,  0.95,0.34,0.38, 0.15, 0.04
Colombia - South Africa, -1.64,0.10,0.12,-0.25,-0.06
Colombia - South Korea, 12.34,< .001,< .001, 2.07, 0.46
Colombia - Spain,  2.74,0.01,0.01, 0.36, 0.09
Colombia - Switzerland,  2.93,< .001,< .001, 0.49, 0.12
Colombia - Taiwan, 12.41,< .001,< .001, 1.55, 0.39
Colombia - Turkey,  0.71,0.48,0.52, 0.14, 0.03
Colombia - United Kingdom,  0.47,0.64,0.67, 0.08, 0.02
Colombia - United States of America, -5.43,< .001,< .001,-0.80,-0.17
Croatia - Czech Republic, 12.11,< .001,< .001, 1.66, 0.40
Croatia - France, -4.36,< .001,< .001,-0.65,-0.15
Croatia - Germany, 14.15,< .001,< .001, 1.66, 0.41
Croatia - Hungary,  8.60,< .001,< .001, 0.88, 0.21
Croatia - Ireland, -5.30,< .001,< .001,-0.82,-0.18
Croatia - Israel,  9.02,< .001,< .001, 1.48, 0.33
Croatia - Italy,  5.34,< .001,< .001, 0.72, 0.17
Croatia - Lithuania,  6.42,< .001,< .001, 0.87, 0.21
Croatia - Malaysia, -6.31,< .001,< .001,-1.00,-0.24
Croatia - Mexico, -4.25,< .001,< .001,-0.60,-0.14
Croatia - New Zealand, -6.42,< .001,< .001,-0.85,-0.19
Croatia - North Macedonia,  7.83,< .001,< .001, 1.25, 0.29
Croatia - Peru, -1.43,0.15,0.18,-0.18,-0.04
Croatia - Poland, -1.75,0.08,0.10,-0.18,-0.04
Croatia - Portugal, -2.70,0.01,0.01,-0.35,-0.08
Croatia - Slovakia, -3.52,< .001,< .001,-0.56,-0.14
Croatia - South Africa, -6.45,< .001,< .001,-0.96,-0.21
Croatia - South Korea,  8.20,< .001,< .001, 1.36, 0.29
Croatia - Spain, -2.76,0.01,0.01,-0.35,-0.09
Croatia - Switzerland, -1.35,0.18,0.21,-0.22,-0.05
Croatia - Taiwan,  6.85,< .001,< .001, 0.83, 0.20
Croatia - Turkey, -2.86,< .001,0.01,-0.57,-0.13
Croatia - United Kingdom, -3.81,< .001,< .001,-0.63,-0.14
Croatia - United States of America,-10.45,< .001,< .001,-1.51,-0.32
Czech Republic - France,-15.11,< .001,< .001,-2.31,-0.55
Czech Republic - Germany, -0.05,0.96,0.97,-0.01, 0.00
Czech Republic - Hungary, -7.14,< .001,< .001,-0.78,-0.19
Czech Republic - Ireland,-15.61,< .001,< .001,-2.48,-0.57
Czech Republic - Israel, -1.11,0.27,0.31,-0.19,-0.04
Czech Republic - Italy, -6.72,< .001,< .001,-0.94,-0.23
Czech Republic - Lithuania, -5.71,< .001,< .001,-0.80,-0.20
Czech Republic - Malaysia,-16.38,< .001,< .001,-2.66,-0.66
Czech Republic - Mexico,-15.58,< .001,< .001,-2.26,-0.54
Czech Republic - New Zealand,-18.27,< .001,< .001,-2.52,-0.58
Czech Republic - North Macedonia, -2.48,0.01,0.02,-0.41,-0.10
Czech Republic - Peru,-13.97,< .001,< .001,-1.84,-0.46
Czech Republic - Poland,-16.65,< .001,< .001,-1.85,-0.45
Czech Republic - Portugal,-14.85,< .001,< .001,-2.02,-0.50
Czech Republic - Slovakia,-13.66,< .001,< .001,-2.22,-0.56
Czech Republic - South Africa,-17.12,< .001,< .001,-2.62,-0.61
Czech Republic - South Korea, -1.79,0.07,0.09,-0.30,-0.07
Czech Republic - Spain,-15.15,< .001,< .001,-2.02,-0.51
Czech Republic - Switzerland,-11.19,< .001,< .001,-1.88,-0.45
Czech Republic - Taiwan, -6.53,< .001,< .001,-0.83,-0.21
Czech Republic - Turkey,-11.03,< .001,< .001,-2.23,-0.53
Czech Republic - United Kingdom,-13.50,< .001,< .001,-2.30,-0.52
Czech Republic - United States of America,-21.32,< .001,< .001,-3.17,-0.70
France - Germany, 17.06,< .001,< .001, 2.30, 0.55
France - Hungary, 12.47,< .001,< .001, 1.53, 0.35
France - Ireland, -1.03,0.30,0.34,-0.17,-0.04
France - Israel, 12.01,< .001,< .001, 2.12, 0.47
France - Italy,  9.07,< .001,< .001, 1.37, 0.31
France - Lithuania, 10.05,< .001,< .001, 1.51, 0.35
France - Malaysia, -2.04,0.04,0.05,-0.35,-0.08
France - Mexico,  0.33,0.74,0.77, 0.05, 0.01
France - New Zealand, -1.38,0.17,0.20,-0.21,-0.04
France - North Macedonia, 10.95,< .001,< .001, 1.90, 0.43
France - Peru,  3.25,< .001,< .001, 0.47, 0.11
France - Poland,  3.72,< .001,< .001, 0.46, 0.11
France - Portugal,  2.01,0.04,0.06, 0.30, 0.07
France - Slovakia,  0.52,0.60,0.64, 0.09, 0.02
France - South Africa, -1.91,0.06,0.07,-0.31,-0.07
France - South Korea, 11.22,< .001,< .001, 2.01, 0.42
France - Spain,  2.04,0.04,0.05, 0.29, 0.07
France - Switzerland,  2.39,0.02,0.02, 0.43, 0.10
France - Taiwan, 10.65,< .001,< .001, 1.48, 0.35
France - Turkey,  0.38,0.70,0.74, 0.08, 0.02
France - United Kingdom,  0.08,0.93,0.94, 0.02, 0.00
France - United States of America, -5.40,< .001,< .001,-0.86,-0.18
Germany - Hungary, -9.42,< .001,< .001,-0.77,-0.19
Germany - Ireland,-17.44,< .001,< .001,-2.48,-0.58
Germany - Israel, -1.18,0.24,0.27,-0.18,-0.04
Germany - Italy, -7.78,< .001,< .001,-0.93,-0.23
Germany - Lithuania, -6.60,< .001,< .001,-0.79,-0.20
Germany - Malaysia,-18.21,< .001,< .001,-2.66,-0.66
Germany - Mexico,-17.88,< .001,< .001,-2.25,-0.54
Germany - New Zealand,-21.35,< .001,< .001,-2.51,-0.58
Germany - North Macedonia, -2.72,0.01,0.01,-0.40,-0.10
Germany - Peru,-16.58,< .001,< .001,-1.84,-0.46
Germany - Poland,-21.75,< .001,< .001,-1.84,-0.45
Germany - Portugal,-17.44,< .001,< .001,-2.01,-0.51
Germany - Slovakia,-15.18,< .001,< .001,-2.21,-0.57
Germany - South Africa,-19.34,< .001,< .001,-2.62,-0.61
Germany - South Korea, -1.93,0.05,0.07,-0.30,-0.07
Germany - Spain,-17.94,< .001,< .001,-2.01,-0.51
Germany - Switzerland,-12.33,< .001,< .001,-1.88,-0.45
Germany - Taiwan, -7.86,< .001,< .001,-0.82,-0.21
Germany - Turkey,-11.77,< .001,< .001,-2.22,-0.53
Germany - United Kingdom,-14.85,< .001,< .001,-2.29,-0.52
Germany - United States of America,-24.29,< .001,< .001,-3.17,-0.71
Hungary - Ireland,-13.07,< .001,< .001,-1.71,-0.38
Hungary - Israel,  4.21,< .001,< .001, 0.59, 0.13
Hungary - Italy, -1.53,0.13,0.15,-0.16,-0.04
Hungary - Lithuania, -0.17,0.86,0.88,-0.02, 0.00
Hungary - Malaysia,-13.99,< .001,< .001,-1.88,-0.45
Hungary - Mexico,-13.12,< .001,< .001,-1.48,-0.34
Hungary - New Zealand,-16.82,< .001,< .001,-1.74,-0.39
Hungary - North Macedonia,  2.71,0.01,0.01, 0.37, 0.09
Hungary - Peru,-11.14,< .001,< .001,-1.07,-0.26
Hungary - Poland,-16.84,< .001,< .001,-1.07,-0.25
Hungary - Portugal,-12.29,< .001,< .001,-1.24,-0.30
Hungary - Slovakia,-10.71,< .001,< .001,-1.44,-0.35
Hungary - South Africa,-14.98,< .001,< .001,-1.84,-0.41
Hungary - South Korea,  3.32,< .001,< .001, 0.47, 0.10
Hungary - Spain,-12.76,< .001,< .001,-1.24,-0.30
Hungary - Switzerland, -7.81,< .001,< .001,-1.11,-0.26
Hungary - Taiwan, -0.58,0.56,0.60,-0.05,-0.01
Hungary - Turkey, -8.05,< .001,< .001,-1.45,-0.33
Hungary - United Kingdom,-10.56,< .001,< .001,-1.52,-0.33
Hungary - United States of America,-20.34,< .001,< .001,-2.39,-0.52
Ireland - Israel, 12.61,< .001,< .001, 2.30, 0.50
Ireland - Italy,  9.82,< .001,< .001, 1.54, 0.34
Ireland - Lithuania, 10.75,< .001,< .001, 1.69, 0.38
Ireland - Malaysia, -1.00,0.32,0.36,-0.18,-0.04
Ireland - Mexico,  1.39,0.16,0.19, 0.23, 0.05
Ireland - New Zealand, -0.20,0.84,0.86,-0.03,-0.01
Ireland - North Macedonia, 11.59,< .001,< .001, 2.08, 0.46
Ireland - Peru,  4.26,< .001,< .001, 0.64, 0.14
Ireland - Poland,  4.83,< .001,< .001, 0.64, 0.14
Ireland - Portugal,  3.05,< .001,< .001, 0.47, 0.11
Ireland - Slovakia,  1.48,0.14,0.17, 0.26, 0.06
Ireland - South Africa, -0.81,0.42,0.46,-0.14,-0.03
Ireland - South Korea, 11.84,< .001,< .001, 2.18, 0.45
Ireland - Spain,  3.10,< .001,< .001, 0.47, 0.11
Ireland - Switzerland,  3.27,< .001,< .001, 0.60, 0.13
Ireland - Taiwan, 11.35,< .001,< .001, 1.66, 0.38
Ireland - Turkey,  1.18,0.24,0.27, 0.25, 0.05
Ireland - United Kingdom,  1.03,0.30,0.34, 0.19, 0.04
Ireland - United States of America, -4.15,< .001,< .001,-0.69,-0.14
Israel - Italy, -4.55,< .001,< .001,-0.75,-0.17
Israel - Lithuania, -3.69,< .001,< .001,-0.61,-0.14
Israel - Malaysia,-13.36,< .001,< .001,-2.48,-0.56
Israel - Mexico,-12.19,< .001,< .001,-2.07,-0.46
Israel - New Zealand,-14.21,< .001,< .001,-2.33,-0.50
Israel - North Macedonia, -1.19,0.23,0.27,-0.22,-0.05
Israel - Peru,-10.41,< .001,< .001,-1.66,-0.38
Israel - Poland,-11.68,< .001,< .001,-1.66,-0.37
Israel - Portugal,-11.27,< .001,< .001,-1.83,-0.42
Israel - Slovakia,-10.98,< .001,< .001,-2.04,-0.48
Israel - South Africa,-13.76,< .001,< .001,-2.44,-0.53
Israel - South Korea, -0.61,0.54,0.58,-0.12,-0.02
Israel - Spain,-11.43,< .001,< .001,-1.83,-0.43
Israel - Switzerland, -8.92,< .001,< .001,-1.70,-0.38
Israel - Taiwan, -4.15,< .001,< .001,-0.64,-0.15
Israel - Turkey, -9.26,< .001,< .001,-2.05,-0.45
Israel - United Kingdom,-10.99,< .001,< .001,-2.11,-0.45
Israel - United States of America,-17.22,< .001,< .001,-2.99,-0.62
Italy - Lithuania,  1.05,0.30,0.33, 0.14, 0.03
Italy - Malaysia,-10.71,< .001,< .001,-1.72,-0.40
Italy - Mexico, -9.22,< .001,< .001,-1.32,-0.30
Italy - New Zealand,-11.62,< .001,< .001,-1.58,-0.35
Italy - North Macedonia,  3.28,< .001,< .001, 0.53, 0.12
Italy - Peru, -6.96,< .001,< .001,-0.90,-0.21
Italy - Poland, -8.37,< .001,< .001,-0.91,-0.21
Italy - Portugal, -8.05,< .001,< .001,-1.08,-0.25
Italy - Slovakia, -7.97,< .001,< .001,-1.28,-0.31
Italy - South Africa,-11.12,< .001,< .001,-1.68,-0.37
Italy - South Korea,  3.80,< .001,< .001, 0.64, 0.14
Italy - Spain, -8.22,< .001,< .001,-1.08,-0.26
Italy - Switzerland, -5.67,< .001,< .001,-0.95,-0.22
Italy - Taiwan,  0.89,0.37,0.41, 0.11, 0.03
Italy - Turkey, -6.43,< .001,< .001,-1.29,-0.29
Italy - United Kingdom, -8.05,< .001,< .001,-1.36,-0.29
Italy - United States of America,-15.20,< .001,< .001,-2.23,-0.47
Lithuania - Malaysia,-11.63,< .001,< .001,-1.87,-0.45
Lithuania - Mexico,-10.25,< .001,< .001,-1.46,-0.34
Lithuania - New Zealand,-12.72,< .001,< .001,-1.72,-0.39
Lithuania - North Macedonia,  2.40,0.02,0.02, 0.39, 0.09
Lithuania - Peru, -8.09,< .001,< .001,-1.05,-0.25
Lithuania - Poland, -9.74,< .001,< .001,-1.05,-0.25
Lithuania - Portugal, -9.15,< .001,< .001,-1.22,-0.30
Lithuania - Slovakia, -8.88,< .001,< .001,-1.42,-0.35
Lithuania - South Africa,-12.10,< .001,< .001,-1.83,-0.41
Lithuania - South Korea,  2.95,< .001,< .001, 0.49, 0.11
Lithuania - Spain, -9.35,< .001,< .001,-1.22,-0.30
Lithuania - Switzerland, -6.54,< .001,< .001,-1.09,-0.25
Lithuania - Taiwan, -0.26,0.79,0.82,-0.03,-0.01
Lithuania - Turkey, -7.15,< .001,< .001,-1.43,-0.33
Lithuania - United Kingdom, -8.92,< .001,< .001,-1.50,-0.33
Lithuania - United States of America,-16.21,< .001,< .001,-2.37,-0.52
Malaysia - Mexico,  2.44,0.01,0.02, 0.40, 0.09
Malaysia - New Zealand,  0.92,0.36,0.40, 0.15, 0.03
Malaysia - North Macedonia, 12.37,< .001,< .001, 2.25, 0.53
Malaysia - Peru,  5.32,< .001,< .001, 0.82, 0.20
Malaysia - Poland,  5.99,< .001,< .001, 0.82, 0.19
Malaysia - Portugal,  4.12,< .001,< .001, 0.65, 0.16
Malaysia - Slovakia,  2.44,0.01,0.02, 0.44, 0.11
Malaysia - South Africa,  0.23,0.82,0.84, 0.04, 0.01
Malaysia - South Korea, 12.61,< .001,< .001, 2.36, 0.51
Malaysia - Spain,  4.18,< .001,< .001, 0.65, 0.16
Malaysia - Switzerland,  4.17,< .001,< .001, 0.78, 0.18
Malaysia - Taiwan, 12.26,< .001,< .001, 1.83, 0.45
Malaysia - Turkey,  1.99,0.05,0.06, 0.43, 0.10
Malaysia - United Kingdom,  1.96,0.05,0.06, 0.37, 0.08
Malaysia - United States of America, -3.02,< .001,< .001,-0.51,-0.11
Mexico - New Zealand, -1.83,0.07,0.09,-0.26,-0.06
Mexico - North Macedonia, 11.10,< .001,< .001, 1.85, 0.42
Mexico - Peru,  3.07,< .001,< .001, 0.42, 0.10
Mexico - Poland,  3.60,< .001,< .001, 0.41, 0.09
Mexico - Portugal,  1.75,0.08,0.10, 0.24, 0.06
Mexico - Slovakia,  0.23,0.82,0.84, 0.04, 0.01
Mexico - South Africa, -2.33,0.02,0.03,-0.36,-0.08
Mexico - South Korea, 11.36,< .001,< .001, 1.96, 0.41
Mexico - Spain,  1.79,0.07,0.09, 0.24, 0.06
Mexico - Switzerland,  2.19,0.03,0.04, 0.37, 0.08
Mexico - Taiwan, 10.98,< .001,< .001, 1.43, 0.34
Mexico - Turkey,  0.14,0.89,0.90, 0.03, 0.01
Mexico - United Kingdom, -0.21,0.83,0.85,-0.04,-0.01
Mexico - United States of America, -6.01,< .001,< .001,-0.91,-0.19
New Zealand - North Macedonia, 13.14,< .001,< .001, 2.11, 0.47
New Zealand - Peru,  5.28,< .001,< .001, 0.67, 0.15
New Zealand - Poland,  6.35,< .001,< .001, 0.67, 0.15
New Zealand - Portugal,  3.82,< .001,< .001, 0.50, 0.11
New Zealand - Slovakia,  1.86,0.06,0.08, 0.30, 0.07
New Zealand - South Africa, -0.71,0.48,0.52,-0.11,-0.02
New Zealand - South Korea, 13.33,< .001,< .001, 2.21, 0.46
New Zealand - Spain,  3.90,< .001,< .001, 0.50, 0.11
New Zealand - Switzerland,  3.83,< .001,< .001, 0.63, 0.14
New Zealand - Taiwan, 13.82,< .001,< .001, 1.69, 0.39
New Zealand - Turkey,  1.43,0.15,0.18, 0.29, 0.06
New Zealand - United Kingdom,  1.33,0.18,0.22, 0.22, 0.05
New Zealand - United States of America, -4.52,< .001,< .001,-0.65,-0.13
North Macedonia - Peru, -9.23,< .001,< .001,-1.44,-0.34
North Macedonia - Poland,-10.41,< .001,< .001,-1.44,-0.34
North Macedonia - Portugal,-10.13,< .001,< .001,-1.61,-0.38
North Macedonia - Slovakia, -9.95,< .001,< .001,-1.81,-0.44
North Macedonia - South Africa,-12.74,< .001,< .001,-2.21,-0.49
North Macedonia - South Korea,  0.56,0.58,0.62, 0.10, 0.02
North Macedonia - Spain,-10.28,< .001,< .001,-1.61,-0.39
North Macedonia - Switzerland, -7.88,< .001,< .001,-1.48,-0.34
North Macedonia - Taiwan, -2.78,< .001,0.01,-0.42,-0.10
